"","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83"
"102120_right_com5","0.014245828246582","0.0122928479101562","0.01031566878125","0.00575428425","0.0013472525","0.0057597975","0.035241260625","0.0597842135","0.070524324","0.114867771375","0.156330685875","0.217613168125","0.3111464895","0.343815820375","0.325971481625","0.2637583045","0.161285837875","0.083119820625","0.047391716875","0.087279238875","0.145784473375","0.153248489875","0.1365502215","0.073802049125","0.014127747","0.002888087625","0.019503870125","0.160837745","0.3038311565","0.339254462625","0.380368590125","0.349418287125","0.353168226625","0.491011583375","0.619121357125","0.709080107625","0.760609154","0.678765546625","0.52604787725","0.382457183125","0.2175323475","0.142434555125","0.175562070125","0.21252384575","0.21904692","0.207746411375","0.14152516525","0.04706103625","0.006204960875","0.000833171500000002","0.000637666000000001","0.001419769875","0.001781723375","0.019327736125","0.05227211575","0.134440384","0.214943812125","0.235736575375","0.28952191775","0.328572857625","0.347794165125","0.4171259155","0.429162389875","0.408245408625","0.420125771375","0.356184177","0.273619740375","0.19175556725","0.08288277625","0.052350848375","0.0908986545","0.142562044125","0.176108156125","0.199784679875","0.18471560375","0.125112825125","0.088567830625","0.062755569078125"
"102120_right_com6","0.00206020119702148","0.00179423360742188","0.001629459109375","0.001237371875","0.0009383325","0.0014101515","0.002318891375","0.03645942475","0.069788298375","0.069205652","0.06995476","0.050239043375","0.035075747625","0.083514878125","0.131667845","0.131651383","0.1705420145","0.173685112875","0.134557091375","0.13060221675","0.0748247185","0.02333219875","0.012473242625","0.001778568125","0.000158292250000001","9.13770000000007e-05","0.000324579625","0.001562513375","0.003064077375","0.006009241","0.010715085875","0.01434836025","0.015340375625","0.01310828675","0.009189050125","0.0047552705","0.002990979625","0.00287990325","0.001980657625","0.00159103","0.001653876","0.013338288875","0.0248721415","0.02502112625","0.024365906125","0.012005534375","0.000445682875","0.000360880125","0.00022396575","0.000248861125","0.000161773625","8.4640125e-05","0.000950711375","0.001757037875","0.0017321425","0.002213949875","0.004158208875","0.0064411025","0.00766247825","0.028312525","0.0506906645","0.0611852125","0.077396328375","0.07748413975","0.065909399875","0.058779704875","0.047649664625","0.02757853625","0.015208311625","0.009372707375","0.003912999","0.0042486115","0.0071671785","0.015041206","0.021354781","0.03421626825","0.062903823375","0.082689273671875"
"102720_left_com1","0.0884979476418457","0.0879118197285156","0.091744332578125","0.098611253625","0.082010926625","0.11526749175","0.1762960475","0.204445609","0.22750646475","0.27074608975","0.306193762875","0.327575779625","0.388032392","0.350377630625","0.35445050875","0.41796797625","0.374807083125","0.366837666875","0.266266522625","0.162218136625","0.156042329","0.1207630675","0.09619704125","0.07020134525","0.045710852875","0.046154581125","0.0667093535","0.07873882875","0.080346411375","0.10148232875","0.1135019605","0.1218449305","0.139679748","0.13386681825","0.127111544125","0.138257683","0.134123228","0.12455418325","0.137973358","0.139651753625","0.14363175225","0.165187824125","0.152955489625","0.126806502","0.11475568625","0.090219517875","0.08236174325","0.098553493","0.094531632125","0.080076025375","0.069515811","0.0597145545","0.05983275125","0.156170590875","0.278273971625","0.33783892625","0.4410512255","0.473792191875","0.41438307425","0.35640660425","0.25634079425","0.193785879625","0.181137649875","0.16851003475","0.146900680125","0.125790679875","0.122599881875","0.12059204825","0.122854446375","0.079611050375","0.0355128595","0.037162257","0.03876459775","0.0415212455","0.045494728","0.084725686","0.119809391","0.12586694425"
"102720_left_com2","0.0943071368103027","0.0889521050136719","0.081387050359375","0.066623390875","0.046801915625","0.039022302","0.029902427","0.01942746225","0.0099741245","0.0018163755","0.00120986475","0.01109278775","0.0268627405","0.077687564625","0.175651278875","0.23234179275","0.2285440345","0.22050689325","0.17767594375","0.1599339815","0.182941449875","0.14071634775","0.084388757125","0.03560680175","0.000931617625000003","0.000623996375","0.000856259749999998","0.00105404275","0.000749564","0.0004946045","0.00024730225","0.00252145625","0.00736709125","0.011786288625","0.0180922695","0.087556227","0.2754850435","0.418940494625","0.46590948025","0.43439979325","0.258670251125","0.1384714265","0.133828454625","0.13654198875","0.140954358375","0.14827525475","0.132517187875","0.093946294875","0.084528279","0.143832571375","0.227964024625","0.269424305375","0.3657897305","0.3894682985","0.358178482375","0.395986392625","0.311308783375","0.215383420375","0.177751244125","0.13800644725","0.169744546625","0.22657552375","0.243979226875","0.262249174625","0.273609213375","0.26541192025","0.277808762125","0.30795580375","0.316910327","0.270157704875","0.193325333375","0.100766582","0.024986841625","0.001051562125","0","0","0","0"
"102720_left_com3","0.227042952230225","0.231645784623047","0.239728642234375","0.345515668875","0.500267455375","0.630768022125","0.72569340575","0.64771247275","0.518291707125","0.39167848","0.29694890025","0.309316090375","0.388051334375","0.458106548875","0.433638067875","0.364089629","0.305539576875","0.24866706175","0.232876360625","0.239846102375","0.17132871775","0.121234364375","0.111346321125","0.086611887125","0.112861147625","0.1187138635","0.091309648","0.08121226625","0.041408127375","0.047842295","0.141589227","0.23554058","0.32499521675","0.343674124625","0.259987499375","0.181459958625","0.11844062725","0.14258203325","0.2247691895","0.238589155625","0.2416037845","0.2380624835","0.22900399275","0.26296708325","0.27537822225","0.22583719475","0.163231516875","0.113439314","0.0819643695","0.058694992125","0.056073288","0.064684368","0.082507295125","0.159391779375","0.281619071625","0.46287366675","0.67170130925","0.7811954195","0.75478410725","0.6607252905","0.5339901795","0.432890319625","0.410916624625","0.340184819875","0.230123734375","0.136155671625","0.073453157375","0.084822983","0.1133382965","0.124955254375","0.10726439725","0.103404675875","0.136060793625","0.227122110125","0.351961573125","0.4189059225","0.437757283625","0.425423399078125"
"102720_left_com4","0.0318061238171387","0.0342870371933594","0.033816302796875","0.038728830375","0.050340112","0.07222661475","0.11653866","0.159534165125","0.2486306565","0.318161373125","0.35413183875","0.386720239875","0.30662358825","0.2079373065","0.12023464925","0.054991166875","0.0859765765","0.13880123575","0.16419058375","0.156911044875","0.109645480125","0.05458691925","0.028287315625","0.013164314875","0.005756573875","0.01925682175","0.03391389375","0.037218144375","0.03537651975","0.03429618075","0.074492904875","0.144440288375","0.198932813625","0.22526833825","0.19139632125","0.167178402","0.164775170375","0.149716685125","0.157623584","0.147938902625","0.126466235875","0.110562563875","0.08677171275","0.048873032375","0.01714244675","0.008507394375","0.00373953375","0.001781050875","0.001468010375","0.00091715875","0.00032018725","0.005669851","0.01285400125","0.05191834925","0.124758736875","0.160067661","0.194021558125","0.202548141625","0.1664190385","0.179440493125","0.223785274875","0.358207468625","0.53876172325","0.660681078875","0.662405082625","0.48717841775","0.273791256625","0.09955979675","0.013417599375","0.00746578262500001","0.005477416375","0.009136674625","0.01151276975","0.01204501325","0.0114136225","0.00752158575","0.010679784375","0.016133864671875"
"102720_left_com5","0.229715501453369","0.246908375345703","0.304874945515625","0.352745095125","0.421733224875","0.451749936875","0.416729807125","0.4232934495","0.44102596725","0.435596409","0.4646609075","0.487444807375","0.5207876435","0.581766426625","0.59394815925","0.590472873125","0.62912381575","0.6073819215","0.51639058325","0.429353458375","0.26051658275","0.118931004875","0.066911425625","0.028185540875","0.014473283125","0.00628655125","0.00710251775","0.011828772","0.023632522625","0.036328501625","0.05875058225","0.089420029875","0.12113161425","0.187992512625","0.246660543875","0.252724705875","0.217548569125","0.1513077015","0.0891336805","0.068933638875","0.070560546625","0.06509109375","0.050689566125","0.032110753125","0.021138267","0.01531397025","0.01111319225","0.013772718375","0.021601187125","0.0259131975","0.041090395375","0.091567972375","0.2003776435","0.323550172","0.383508905875","0.39160566775","0.315372354","0.20420427275","0.156488682875","0.127931774875","0.12603448475","0.129513019","0.118836400125","0.102653749375","0.06959527025","0.053038781125","0.03855558975","0.022546933875","0.018382900875","0.013900319625","0.00835066775","0.0058767955","0.007701653","0.008671071","0.00770819375","0.005759283","0.003822301375","0.003709043171875"
"102720_left_com6","0.0773071767932129","0.0702023565644531","0.070044217265625","0.074854190125","0.105688138375","0.168600650875","0.247510469125","0.31616458475","0.3314088385","0.290020859375","0.200834763625","0.11762538925","0.06635759725","0.047824867","0.08271146175","0.12399482675","0.141455462375","0.155288515625","0.140833182125","0.10535078975","0.093665192125","0.084156570875","0.069447069625","0.0588282605","0.0480086045","0.052584596125","0.097479918625","0.163914638625","0.208132796","0.220915482","0.214870466625","0.208290775","0.195513381375","0.189795562875","0.19398504725","0.177256256875","0.184661543","0.2086210075","0.192917932875","0.189085073125","0.1959137065","0.198585689375","0.19239709925","0.154473430625","0.107901191125","0.062196187","0.04330006","0.042123949875","0.036315915625","0.027372522","0.031811528125","0.07737622","0.1306758785","0.189061811375","0.236965002125","0.30875319675","0.476511191625","0.626314218375","0.685103403125","0.70954136775","0.66335406675","0.52852623825","0.4171496585","0.296357827","0.1453559465","0.077948258625","0.072624559875","0.05589060925","0.047797570375","0.0613032715","0.065512848","0.069662028375","0.06644047775","0.055491222125","0.04755757375","0.03660818725","0.06526067525","0.10079137390625"
"102720_right_com1","0.0592364589223633","0.0489702568164063","0.04330805203125","0.03310694325","0.044654773","0.10768398125","0.200031786375","0.290241166","0.318651322875","0.2988397295","0.33767177775","0.40669105225","0.546332975625","0.74950377675","0.773298887875","0.660291","0.496914088125","0.317949887125","0.25513847675","0.2505846655","0.2410155675","0.188841602625","0.09869808025","0.053964383625","0.04698378425","0.041114209625","0.055839122625","0.08344833625","0.08483908225","0.075635848875","0.0550012345","0.019970536875","0.007680987875","0.068735217125","0.206759501375","0.3496322475","0.463108602625","0.478598208875","0.4272464475","0.350374249625","0.29599195025","0.34459099075","0.329680791375","0.27758879575","0.219029670125","0.093700582375","0.02259610325","0.008664321","0.00275703425","0.00255322525","0.002813304625","0.0035348365","0.00587441225","0.013130565625","0.018732320375","0.017622904625","0.014947219125","0.012025876375","0.013330776125","0.01690709","0.08667296725","0.217208062625","0.330064676","0.429907534","0.485309928875","0.475997170625","0.440292966125","0.376976127375","0.28984420875","0.245746152","0.214785517625","0.217270987125","0.25516414875","0.227436958125","0.211199860875","0.227671697375","0.268411060375","0.324255942546875"
"102720_right_com2","0.0295895220437012","0.0270348140058594","0.022758819296875","0.015423023375","0.005848873625","0.05964657525","0.172169063125","0.2711787715","0.368577712375","0.444232485","0.420557948875","0.342331142625","0.279813993125","0.2429124165","0.2835515","0.4110357385","0.539524815625","0.5184027375","0.396216348625","0.253922405625","0.093854182875","0.01992740875","0.01213002675","0.00577289475","0.002921609875","0.0021420925","0.002195557","0.004260613375","0.01105099425","0.029904540875","0.137802515375","0.27669487575","0.357953587125","0.39441472275","0.31741800475","0.225293349875","0.16929045775","0.117272072375","0.119129870125","0.12948339375","0.14154078875","0.1528874995","0.12115141925","0.061680853125","0.016532944","0.005417079375","0.00893568125","0.00919008075","0.00919443075","0.005279613625","0.000837536125","0.00031462575","0.00031027575","0.014662503625","0.0486139825","0.06988777275","0.072170449","0.063997058875","0.10227021775","0.18890462375","0.267030964625","0.333459326375","0.419547217375","0.464491732125","0.478335138875","0.4727500225","0.315299719125","0.162529550375","0.0682771265","0.001646227375","0.001628229625","0.0042614025","0.006779867","0.007849890625","0.00806681475","0.00519813675","0.00267967225","0.00154907365625"
