ID,Offset,Condition,bin,com.raw.distance,com.distance.moving,com.raw.speed,com.speed.moving,com.percentage.moving,ZT,norm_raw_distance,norm_filtered_distance
102120_left_com1,0,cycle,23,133.4692781,60.81182468,0.037074799,0.11452321,14.75,23,0.54528426,0.3923681
102120_left_com1,0,cycle,24,72.92189053,12.94433831,0.020256081,0.054965343,6.541666667,0,0.297919938,0.083519043
102120_left_com1,0,cycle,25,145.4100392,68.58370518,0.040391678,0.117437851,16.22222222,1,0.594067839,0.442513577
102120_left_com1,0,cycle,26,78.56847001,20.23099473,0.021824575,0.058051635,9.680555556,2,0.320988849,0.130533774
102120_left_com1,0,cycle,27,99.68945497,38.87709917,0.027691515,0.076229606,14.16666667,3,0.407277925,0.250841569
102120_left_com1,0,cycle,28,128.0413911,61.84700998,0.035567053,0.080951584,21.22222222,4,0.523108809,0.399047289
102120_left_com1,0,cycle,29,49.30974085,9.059272347,0.01369715,0.054738806,4.597222222,5,0.201453293,0.058451946
102120_left_com1,0,cycle,30,42.292863,1.289328949,0.011748018,0.04227308,0.847222222,6,0.172786073,0.008318967
102120_left_com1,0,cycle,31,129.0062222,67.08436638,0.035835062,0.093693249,19.88888889,7,0.527050594,0.432839592
102120_left_com1,0,cycle,32,65.74030513,6.289498443,0.018261196,0.045908748,3.805555556,8,0.268579812,0.0405809
102120_left_com1,0,cycle,33,89.12062128,21.91492513,0.024755728,0.102886972,5.916666667,9,0.364099309,0.141398775
102120_left_com1,0,cycle,34,152.5249383,76.80299901,0.042368038,0.10254072,20.80555556,10,0.62313552,0.49554584
102120_left_com1,0,cycle,35,244.7700915,154.9866687,0.067991692,0.116619013,36.91666667,11,1,1
102120_left_com1,0,cycle,36,149.5199475,47.91097212,0.041533319,0.310103379,4.291666667,12,0.610858731,0.309129634
102120_left_com1,0,cycle,37,138.948746,58.62164427,0.038596874,0.194433314,8.375,13,0.567670442,0.378236688
102120_left_com1,0,cycle,38,108.6527273,35.22200381,0.030181313,0.064746331,15.11111111,14,0.443897074,0.22725828
102120_left_com1,0,cycle,39,208.6950459,105.550176,0.057970846,0.099294615,29.52777778,15,0.852616611,0.681027451
102120_left_com1,0,cycle,40,108.8796355,39.1426676,0.030244343,0.062578206,17.375,16,0.444824099,0.252555061
102120_left_com1,0,cycle,41,106.8206039,39.78124478,0.02967239,0.054719731,20.19444444,17,0.436411995,0.256675268
102120_left_com1,0,cycle,42,135.73487,67.76158907,0.037704131,0.07967265,23.625,18,0.55454026,0.437209146
102120_left_com1,0,cycle,43,159.7892719,66.73293485,0.044385909,0.087175617,21.26388889,19,0.652813712,0.430572096
102120_left_com1,0,cycle,44,135.0198625,30.20133942,0.037505517,0.169195179,4.958333333,20,0.55161912,0.194864111
102120_left_com1,0,cycle,45,72.43460525,5.411263481,0.020120724,0.067640794,2.222222222,21,0.295929151,0.03491438
102120_left_com1,0,cycle,46,73.06193391,22.2603856,0.020294982,0.074574156,8.291666667,22,0.298492081,0.143627744
102120_left_com1,0,cycle,47,131.5014081,36.83296067,0.036528169,0.344233277,2.972222222,23,0.537244593,0.237652444
102120_left_com1,0,cycle,48,87.01128232,24.16693216,0.024169801,0.071499799,9.388888889,0,0.355481676,0.155929103
102120_left_com1,0,cycle,49,82.78414313,19.58776359,0.022995595,0.056693961,9.597222222,1,0.338211841,0.126383538
102120_left_com1,0,cycle,50,74.8488098,15.57143288,0.020791336,0.057142873,7.569444444,2,0.305792302,0.100469499
102120_left_com1,0,cycle,51,66.15192029,11.82504327,0.018375533,0.053265961,6.166666667,3,0.270261452,0.076297164
102120_left_com1,0,cycle,52,109.9048775,47.59086587,0.030529133,0.065915327,20.05555556,4,0.449012691,0.307064254
102120_left_com1,0,cycle,53,92.61681874,39.93724886,0.025726894,0.112817087,9.833333333,5,0.378382907,0.257681833
102120_left_com1,0,cycle,54,61.67512053,4.181655656,0.017131978,0.043109852,2.694444444,6,0.251971637,0.026980744
102120_left_com1,0,cycle,55,54.61716225,8.010434421,0.015171434,0.054678733,4.069444444,7,0.223136585,0.051684667
102120_left_com1,0,cycle,56,25.35420738,0,0.007042835,NA,0,8,0.103583764,0
102120_left_com1,0,cycle,57,27.12391724,0,0.007534421,NA,0,9,0.110813854,0
102120_left_com1,0,cycle,58,63.61979044,9.71066949,0.017672164,0.123702796,2.180555556,10,0.25991652,0.062654869
102120_left_com1,0,cycle,59,234.3051537,105.6672204,0.065084765,0.279173634,10.51388889,11,0.957245848,0.681782642
102120_left_com1,0,cycle,60,122.3346201,47.6948226,0.033981839,0.167939516,7.888888889,12,0.499793988,0.307735001
102120_left_com1,0,cycle,61,116.4668592,47.51300497,0.032351905,0.153515363,8.597222222,13,0.475821447,0.306561883
102120_left_com1,0,cycle,62,77.68567721,9.370214656,0.021579355,0.040917968,6.361111111,14,0.317382229,0.060458198
102120_left_com1,0,cycle,63,68.4950158,8.496886997,0.019026393,0.047204928,5,15,0.27983409,0.054823341
102120_left_com1,0,cycle,64,71.76905144,10.76953266,0.019935848,0.046320571,6.458333333,16,0.293210053,0.069486832
102120_left_com1,0,cycle,65,114.3311972,31.21692883,0.031758666,0.093463859,9.277777778,17,0.467096272,0.201416864
102120_left_com1,0,cycle,66,219.9783524,79.8612965,0.061105098,0.182540106,12.15277778,18,0.898714181,0.515278489
102120_left_com1,0,cycle,67,55.64828023,7.662607653,0.015457856,0.054929087,3.875,19,0.227349183,0.049440431
102120_left_com1,0,cycle,68,18.13888273,0,0.005038579,NA,0,20,0.074105797,0
102120_left_com1,0,cycle,69,2.333452609,0.09448855,0.000648181,0.031496183,0.083333333,21,0.009533242,0.000609656
102120_left_com1,0,cycle,70,35.3803807,4.019844235,0.009827884,0.042992986,2.597222222,22,0.144545359,0.02593671
102120_left_com1,0,cycle,71,39.89208865,1.835908643,0.011081136,0.045331078,1.125,23,0.16297779,0.011845591
102120_left_com1,0,cycle,72,30.79154489,1.057135504,0.008553207,0.034101145,0.861111111,0,0.125797824,0.006820816
102120_left_com1,0,cycle,73,43.36327609,7.510327043,0.012045354,0.056896417,3.666666667,1,0.17715921,0.048457891
102120_left_com1,0,cycle,74,78.98463778,27.14913623,0.021940177,0.138163543,5.458333333,2,0.322689089,0.175170784
102120_left_com1,0,cycle,75,138.1515906,66.54346766,0.038375442,0.134160217,13.77777778,3,0.56441369,0.429349622
102120_left_com1,0,cycle,76,55.69287807,6.148103372,0.015470244,0.043758743,3.902777778,4,0.227531386,0.039668595
102120_left_com1,0,cycle,77,73.6816012,18.59652971,0.020467111,0.062091919,8.319444444,5,0.301023711,0.119987931
102120_left_com1,0,cycle,78,53.1213273,4.241017409,0.014755924,0.040583899,2.902777778,6,0.217025401,0.027363756
102120_left_com1,0,cycle,79,79.59042821,20.79746201,0.022108452,0.065607136,8.805555556,7,0.325164025,0.134188716
102120_left_com1,0,cycle,80,62.81475137,5.692846532,0.017448542,0.039396862,4.013888889,8,0.25662756,0.036731201
102120_left_com1,0,cycle,81,67.66572886,11.57685155,0.018796036,0.046869844,6.861111111,9,0.276446066,0.074695789
102120_left_com1,0,cycle,82,78.8377899,15.67140967,0.021899386,0.054604215,7.972222222,10,0.322089147,0.101114566
